"start","logRatio"
0,1.72128662599778
30000,1.43080047832763
60000,0.757537793329805
90000,0.213213484299208
120000,-0.282278639328311
150000,-0.410669932574866
180000,-0.489789647663244
210000,-0.618047907395449
240000,-0.827118793385047
270000,-1.32080022685511
300000,-0.892584698284391
330000,-1.50363494622078
360000,-2.44488209481048
390000,-2.96144092847754
420000,-2.35461941017176
450000,-1.52536572622368
480000,-0.420539326639195
510000,-0.114279151670349
540000,0.281565719562023
570000,-0.457611114828088
600000,-0.76293947425765
630000,-2.05760504225711
660000,-2.39379720461562
690000,-2.40111977442573
720000,-1.99111047042525
750000,-2.17522276321841
780000,-2.36175626632323
810000,-2.6298561940531
840000,-2.6289001638865
870000,-2.67706654417504
900000,-1.55187394738449
930000,-2.73781703820006
960000,-2.4507703115018
990000,-2.43753323829517
1020000,-1.02254596682606
1050000,-2.76376956782864
1080000,-2.70246947576407
1110000,-3.39227953248668
1140000,-1.06478309159863
1170000,-1.23751220191474
1200000,-0.756654473582352
1230000,-1.16720864643295
1260000,-3.3348252593188
1290000,-2.68108741208506
1320000,-2.67846485492932
1350000,-0.46036910936249
1380000,-0.858824174985559
1410000,-0.815734660231823
1440000,-0.569534828110261
1470000,-0.0335603084698527
1500000,0.333615842779754
1530000,0.345777359330714
1560000,-0.379975916430474
1590000,-0.697819534083578
1620000,-0.969048123312031
1650000,-0.57409543904024
1680000,-0.516675826544289
1710000,-0.374338240014902
1740000,-0.238164517337849
1770000,-0.641406923013205
1800000,-1.21781037967368
1830000,-2.21164472272156
1860000,-2.43986712446495
1890000,-2.47739949058586
1920000,-2.31491924745937
1950000,-2.28898951912787
1980000,-2.0076777266611
2010000,-1.44031642271302
2040000,-0.474147268676299
2070000,-0.71423926915667
2100000,-0.591985833210727
2130000,-1.52274291201299
2160000,-0.570414940891056
2190000,-0.837680777050681
2220000,-0.435422624749848
2250000,-1.61068594224986
2280000,-1.18580370553987
2310000,-2.07256193982449
2340000,-1.99682387316959
2370000,-2.4938603342188
2400000,-0.881631569124389
2430000,0.160734567883645
2460000,-0.245846594897565
2490000,-1.15371468955174
2520000,-2.51261191483485
2550000,-1.76928700764829
2580000,-1.3297037979561
2610000,-0.860381948596256
2640000,-1.28259559558942
2670000,-1.69053177467378
2700000,-1.17819317235282
2730000,-1.157524759343
2760000,-0.855221857110556
2790000,-0.942856760923261
2820000,-1.69671701379399
2850000,-2.82689464028828
2880000,-3.46738601416438
2910000,-2.73524733215293
2940000,-0.793696820526444
2970000,0.434206124879495
3000000,0.360608083651231
3030000,-0.606639955990509
3060000,-1.08319530669682
3090000,-0.929111387155438
3120000,-0.793704675182626
3150000,-0.942735329363963
3180000,-0.558298176471816
3210000,-0.662753304720194
3240000,-0.916236291611753
3270000,-1.04467961063066
3300000,-0.822156430766372
3330000,0.0956713353276556
3360000,0.288933963945582
3390000,0.30344424778974
3420000,-0.570192463656738
3450000,-1.15338447459564
3480000,-0.941642693156021
3510000,-0.227032233161655
3570000,0.549740593464235
3600000,0.297517924257514
3630000,-0.00222840510302565
3660000,-0.605523558735082
3690000,-0.555929566795586
3720000,-0.94239074305186
3750000,-1.28135418167846
3780000,-2.34555126268656
3810000,-2.14757308493494
3840000,-2.37216520050405
3870000,-2.97369658312458
3900000,-3.09033823150998
3930000,-2.13654432198672
3960000,-1.11746674312589
3990000,-1.64158030599055
4020000,-2.08371729996179
4050000,-1.50714967298175
4080000,-0.793509925004362
4110000,-0.867793181384289
4140000,-0.900095778071242
4170000,-1.16052513189508
4200000,1.04098664520946
4230000,0.947200280316674
4260000,2.15128868402397
4290000,1.29407523215867
4320000,1.42032400913144
4350000,0.735478617354039
4380000,1.70466764174885
4410000,1.24072569356994
4440000,1.03787602965572
4470000,-0.727299206132642
4500000,-0.0612014898886679
4530000,0.498997563665452
4560000,0.581302160321619
4590000,0.167487945160046
4620000,0.498856465125407
4650000,3.0879452398009
4680000,4.11037635598185
4710000,3.52508503205462
4740000,1.19324521166134
4770000,0.931800974888686
4800000,1.0822966190249
4830000,0.69604292502669
4860000,0.676250912642086
4890000,1.30192911222544
4920000,1.87952072723372
4950000,1.5140044171894
4980000,1.48669186061242
5010000,1.57541596625098
5100000,1.20193556408726
5130000,0.602134905318954
5160000,-0.198343308201622
5190000,0.136774169131067
5220000,0.435433436638273
5250000,0.667372638879
5280000,0.141641821754983
5310000,-0.711450174595272
5340000,-0.506005800308746
5370000,-0.635769134176845
5400000,-0.422274585486306
5430000,-0.614497222796239
5460000,-0.0837281510097698
5490000,0.584259123224967
5520000,0.307317999511693
5550000,0.815823431379776
5580000,-0.668209138496849
5610000,-0.715822438629384
5640000,-1.46122658790937
5670000,-0.742024171464003
5700000,-0.825720804021414
5730000,0.211520711466291
5760000,-0.451565635123792
5790000,-1.5152405068813
5820000,-2.95688980771923
5850000,-3.22317043358749
5880000,-2.93492901153381
5910000,-3.38427805908036
5940000,-2.18792169854503
5970000,-1.68947961865237
6000000,0.32730649724869
6030000,0.350020213185109
6060000,0.829603846163001
6090000,0.666907831471996
6120000,0.352886645019151
6150000,1.31902574086274
6180000,1.26632452252342
