"start","logRatio"
0,2.43633546735865
30000,2.53861954191434
60000,1.85730397544953
90000,1.07100704422041
120000,-0.120198707966705
150000,0.479714484985245
210000,1.406134995922
240000,1.44379878480506
300000,0.745839017653254
360000,-0.876426447724499
390000,-0.542427302741146
420000,-1.5401619109816
450000,-0.443599347883246
510000,-0.252852180691044
540000,1.27648010891677
570000,1.15569776943014
600000,1.6281412061824
630000,0.792330878600626
660000,0.775779822105
690000,0.265842445283072
720000,-0.524532031116332
750000,-1.6614985670127
780000,-1.75279189170395
810000,-1.94989600045469
840000,-1.78729897288147
870000,-1.93210786490254
900000,-0.682848254416594
930000,-0.863248138563988
960000,-1.24065982489419
990000,-1.02976152034364
1020000,-0.461339298646172
1050000,-0.338861245825902
1080000,-0.592976850135415
1110000,-0.836575599308097
1140000,-0.804820515661498
1170000,-0.915995849238637
1200000,-1.09427408409327
1230000,-1.72047697896093
1260000,-1.51633332426831
1290000,-0.687468300275349
1320000,0.120541769686918
1350000,0.154503195022263
1380000,0.0717154725141533
1410000,0.038633846582173
1440000,-0.0726937411122351
1470000,0.010439181877855
1500000,0.00628681713924026
1530000,-0.0230411562053601
1560000,-0.0537758190402791
1590000,0.0125669743473941
1620000,0.119799273943233
1650000,0.0686148761283217
1680000,0.232797851278012
1710000,0.401886794661321
1740000,0.679332060952321
1770000,0.732935390009946
1800000,0.506876523332507
1830000,0.245250003627319
1860000,-0.0806036283085559
1890000,-0.0130948416351578
1920000,-0.326955956320679
1950000,-0.812172157392239
1980000,-1.13823098818782
2010000,-0.864170096810962
2040000,-0.35263093330073
2070000,-0.298617305464094
2100000,-0.423894164109193
2130000,-0.422308265007865
2160000,-0.406821607512807
2190000,-0.730397297473758
2220000,-0.835155772276488
2250000,-0.696154802266691
2280000,-0.488918692816736
2310000,-0.84528670811909
2340000,-1.76785874204217
2370000,-2.09997195935985
2400000,-3.3973090244163
2430000,-3.11369527873069
2460000,-2.83301229482813
2490000,-1.07651981992474
2520000,-0.148955359793572
2550000,0.390780906507156
2580000,0.799017756706126
2610000,1.17343255687249
2670000,0.919086394825655
2700000,0.678306073454624
2730000,-0.0413269265524436
2760000,-2.11144527494689
2790000,-3.44431793339757
2820000,-3.85358388246562
2850000,-2.4017823817759
2880000,-1.649649100043
2910000,-1.47683990264369
2940000,-1.50373096806929
2970000,-2.28062201851759
3000000,-2.9096620073288
3030000,-2.96623110003764
3060000,-2.44206115639584
3090000,-3.06315876023702
3120000,-2.91213300306478
3150000,-3.36191592489983
3180000,-2.86891761474367
3210000,-3.11481999513761
3240000,-2.64744690947881
3270000,-2.97784107134456
3300000,-3.24718211811633
3330000,-2.78171457570427
3360000,-2.0153576198657
3390000,-1.59355403832183
3420000,-1.89249841777024
3450000,-1.7348857451399
3480000,-1.49782288381336
3510000,-1.02677978677603
3540000,-0.794710387973131
3570000,-0.931220466927163
3600000,-1.16013827693829
3630000,-0.941442670712666
3660000,-0.572580520425182
3690000,-0.309624151766324
3720000,-0.123560882439826
3750000,0.158876992577955
3780000,0.217946143926599
3810000,0.0154717054431677
3840000,-0.255024073761764
3990000,-0.29902668397889
4020000,-0.309080379161721
4050000,-0.0799240982491413
4080000,-0.50478270676013
4110000,-1.32473192439454
4140000,-2.03655882283266
4170000,-1.78175344671208
4200000,-0.422443405146367
4230000,0.30613692152319
4260000,0.950796025818781
4290000,0.880236264907245
4320000,0.443798659803011
4350000,-0.145798981945042
4380000,-0.819029873285674
4410000,-0.582841440055366
4440000,-0.52703460323391
4470000,-0.576263603357004
4500000,-0.810130142175351
4530000,-1.42180598795378
4560000,-0.760233462547034
4590000,-0.0172366124442041
4620000,0.250470461928278
4650000,-0.373047458312397
4680000,-0.925408330024621
4710000,-0.956034929326061
4740000,-1.36907211874444
4770000,-1.51002416701903
4800000,-2.16880430077491
4830000,-1.34469197879988
4860000,-1.20009098376966
4890000,0.119552973945128
4920000,0.0355473063432017
4950000,-0.437854255970115
4980000,-1.34390134141849
5010000,-2.11769918591651
5040000,-1.54598247512159
5070000,-1.67303671578792
5100000,-0.853404593295085
5130000,-0.142876667363416
5160000,-0.0276590091484396
5190000,-0.115442791685623
5220000,0.210926516545119
5250000,0.45496649562473
5280000,0.00370599452093276
5310000,-1.72459254850254
5340000,-1.18249939062237
5370000,-0.272928375880886
5400000,0.118242497349661
5430000,-0.634877035539763
5460000,-1.72525272590046
5490000,-2.06535242580806
5520000,-2.55206932630879
5550000,-2.08331554042968
5580000,-1.48229814989367
5610000,0.266427110448238
5640000,0.566361313356376
5670000,0.305182654035538
5700000,-0.323717458176871
5730000,-0.554365450565641
5760000,-0.549028116326934
5790000,-0.603850723641136
5820000,-0.571784156494241
5850000,-0.492242654061946
5880000,-2.15062508642866
5910000,-3.03450707264027
5940000,-3.32788886326392
5970000,-1.61827914114697
6000000,-0.628586402134595
6030000,-0.0542746790573662
6060000,-0.086845221199415
6090000,-0.210049547055506
6120000,-0.333575128704531
6150000,-0.319977373063715
6180000,-0.32754599849374
6210000,0.000123748534970223
6240000,0.214935826282427
6270000,-0.0637011118410552
6300000,-0.479542182108592
6330000,-0.551591218038722
6360000,-0.149408625347131
6390000,0.356435940735922
6420000,0.550842897290137
6450000,0.454475029966358
6480000,0.0412544004031374
6510000,-0.359368625800192
6540000,0.0204443892956535
6570000,0.445487463576182
6600000,0.659532301179968
6630000,0.547107703483795
6660000,0.324777403982201
6690000,0.620492211578901
6720000,0.683335714333997
6750000,0.580177036748615
6780000,0.460797779787815
6810000,0.224140504354765
6840000,0.406681932084244
6870000,-0.0584691149709024
6900000,-0.30591426343771
6930000,-1.13052465821172
6960000,-1.08400038183683
6990000,-0.981369238231515
7020000,-0.321101243985395
7050000,-0.155679242517603
7080000,-0.710052608224656
7110000,-1.16710962060728
7140000,-1.34101678351223
7170000,-0.788461843069878
7200000,-0.281992089724965
7230000,-0.406253988288096
7260000,-0.64516868001606
7290000,-1.43643591249502
7320000,-2.17548981654127
7350000,-2.20881522391943
7380000,-1.90669018372384
7410000,-0.998573422531318
7440000,-1.22084292731304
7470000,-1.31417896001943
7500000,-1.77845474806752
7530000,-1.1649367584104
7560000,-0.676059263521657
7590000,-0.230893834097013
7620000,-0.32045420167984
7650000,-0.476838858808304
7680000,-0.727303757719696
7710000,-0.800741768549531
7740000,-0.567507091721267
7770000,-0.229597002072895
7800000,-0.0868156401342751
7830000,0.14260471053475
7860000,0.355911746401901
7890000,0.623672126936926
7920000,0.695915298874841
7950000,0.837461343900345
7980000,0.807606074636882
8010000,0.586509496458648
8040000,0.592050682285834
8070000,0.66498366409276
8100000,0.659753995386867
8130000,0.46339521972664
8160000,0.390326138436181
8190000,0.526371546458933
8220000,0.61180761171944
8250000,0.710609529108679
8280000,0.806042906974775
8310000,0.902383916762514
8340000,0.560908559131784
8370000,-0.607009393705868
8400000,-1.19455818354918
8430000,-1.46287519211261
8460000,-0.858184467832574
8490000,-0.548755378990187
8520000,-0.389285474085059
8550000,-0.14884173179089
8580000,-0.370328228529861
8610000,-0.405034584689442
8640000,-0.453758247087582
8670000,-0.179158988266971
8700000,0.0759315508943547
8730000,-0.0593527022821666
8760000,0.0688606313582798
8790000,0.238822497232188
8820000,0.776751453313618
8850000,0.847608816047034
8880000,0.774289425921898
8910000,0.581288128225688
8940000,0.660812335526359
8970000,0.790192828259301
9000000,0.874276232036687
9030000,0.622525879477235
9060000,0.330701607747067
9090000,0.00564452864032053
9120000,-0.0530265814107794
9150000,0.00438796214906885
9180000,0.125227191224921
9210000,0.142171026710711
9240000,0.26639837123531
9270000,0.114560247537932
9300000,0.0403841568632385
9330000,-0.448251966455605
9360000,-0.662027961406456
9390000,-0.715144992585517
9420000,-0.312557585770567
9450000,0.258209563220506
9480000,0.574990316827576
9510000,0.808558242259778
9540000,0.825578951326765
9570000,1.0077701941146
9600000,0.810993808123934
9630000,0.547996008643945
9660000,0.504305019037518
9690000,0.642583669250915
9720000,0.825644985252123
9750000,0.60104789845091
9780000,0.614960854947645
9810000,0.685675716112566
9840000,0.818958822209644
9870000,0.600229091908906
9900000,0.521746549270945
9930000,0.606463954455047
9960000,0.977873819055798
9990000,1.20732583011377
10020000,1.28738225383933
10050000,1.20828527833
10080000,1.18606288108795
10110000,1.18814544929941
10140000,1.17497780656155
10170000,1.05488090047564
10200000,0.870179464561141
10230000,0.73929719203722
10260000,0.680561641038691
10290000,0.679016679781507
10320000,0.692182833960455
10350000,0.770454291474276
10380000,0.878461796293893
10410000,0.890421003690313
10440000,0.784611706995053
10470000,0.738326252985941
10500000,0.734425557722039
10530000,0.64665989095382
10560000,0.259773580471661
10590000,0.312812617610036
10620000,0.00738439761161483
10650000,-0.747089620123325
10680000,-1.65116782742001
10710000,-2.23088575495803
10740000,-1.78753798733344
10770000,-1.43757042521187
10800000,-0.960178431677691
10830000,-0.814999862872154
10860000,-0.580390694882071
10890000,-0.153501608950202
10920000,0.0900903617419168
10950000,0.289785795787373
10980000,0.393651270951468
11010000,0.816127571569157
11040000,1.12020049003771
11070000,1.06497436487839
11100000,0.935597090348018
11130000,0.758708633797531
11160000,0.855064216749489
11190000,0.543531810666775
11220000,0.526726897190105
11250000,0.609768937643109
11280000,0.962825804647534
11310000,1.03460152951027
11340000,0.778419194389274
11370000,0.678628428087132
11400000,0.637469143660133
11430000,0.939749503198949
11460000,0.564490174967311
11490000,0.0937055243982541
11520000,-0.313629745320594
11550000,-0.586276090195236
11580000,-0.495784354319479
11610000,-0.433584685932152
11640000,0.0818269415018369
11670000,0.212029118672892
11700000,0.317893830769338
11730000,0.348073737420152
11760000,0.437076394153658
11790000,0.265018226112187
11820000,0.203341534300611
11850000,0.19889777425414
11880000,0.377266792748995
11910000,0.578545154043524
11940000,0.674695746507038
11970000,0.693435965854656
12000000,0.650705385885567
12030000,0.559575423190921
12060000,0.495941505209999
12090000,0.441790556862114
12120000,0.583564173231696
12150000,0.6020960788643
12180000,0.418017236631228
12210000,0.054212344078212
12240000,0.0509829832168803
12270000,0.370179582909206
12300000,0.491502270209475
12330000,0.338577907799658
12360000,0.221596430662156
12390000,0.126942338367901
12420000,0.0995375413601799
12450000,-0.351530855031721
12480000,-0.9995840877286
12510000,-1.35834931564881
12540000,-1.04940098224185
12570000,-0.381580813070821
12600000,-0.00277222957121975
12630000,-0.00123591103323077
12660000,0.22613298032281
12690000,0.552764563895508
12720000,1.00795963080911
12750000,1.54983548666795
12780000,1.25225753510094
12810000,0.931641355727012
12840000,0.85212239065791
12870000,1.98198143632565
12900000,2.27217396090657
12930000,2.01898801242831
12960000,1.25937945479936
12990000,1.87235466299633
13020000,1.91714709583266
13050000,1.48275228500658
13110000,0.909822764128466
13140000,1.09152079448225
13170000,1.50491679939723
13200000,1.8501483344385
13320000,1.89417929827651
13350000,2.51910874313989
13380000,2.38656432682575
13410000,2.33001431390071
13440000,1.40748255563989
13470000,1.08916217767468
13500000,0.983776503283437
13530000,0.468647208994613
13590000,1.15951383319673
13620000,3.953243349358
13650000,4.9226763881788
13680000,4.28314275842973
13710000,1.75823201062353
13740000,1.62960080336736
13770000,1.44742503268314
13800000,0.893067018036382
13830000,0.823483715835044
13860000,0.915703017631088
13890000,0.925260518739922
13920000,0.84510395836489
13950000,0.663943409595308
13980000,0.545624173459197
14010000,-0.128232565956165
14040000,-1.8055164882178
14070000,-2.85845087315737
14100000,-3.1956933135733
14130000,-0.749200677125979
14160000,0.263886727062031
14190000,0.797586491214056
14220000,0.0595539023218475
14250000,-0.153572032714295
14280000,-0.054753476651193
14310000,1.13092580463211
14340000,0.788495914539953
14370000,0.768598863395537
14400000,-1.56057523375983
14430000,-0.809686490848204
14460000,-1.01407193042279
14490000,-4.24944816026398
14520000,-4.40400967423965
14550000,-4.32673052355891
14580000,-0.781662673499399
14610000,-1.02312959375859
14640000,-1.01559777819031
14670000,-0.508642157895177
14700000,-0.199154857274648
14730000,-0.15168105309936
14760000,-1.63910786564959
14790000,-2.78459624816842
14820000,-2.98663198811646
14850000,-1.55381764986902
14880000,-1.81883494764393
14910000,-1.8038303098578
14940000,-1.55601554181844
14970000,-0.670968034465138
15000000,-0.309112799779572
15030000,-0.305846599408701
15060000,-0.120594370529911
15090000,-0.0747496491719403
15120000,-0.288896919126563
15150000,0.196453503205457
15180000,0.30957180719506
15210000,0.410856201400889
15240000,0.0955369980420727
15270000,0.063039319467011
15300000,0.128795792891075
15330000,-0.0197702739285995
15360000,0.030073879824437
15390000,-0.0175167409072605
15420000,0.136960122393846
15450000,0.100361489564978
15480000,-0.0191026098348156
15510000,0.116187904798968
15540000,0.00535449708798405
15570000,0.197827605878476
15600000,0.0800419830505379
15630000,0.198608463922409
15660000,0.222503252442734
15690000,0.329170718070432
15720000,0.384746974611821
15750000,0.463205859378038
15780000,0.38485765974683
15810000,0.591803427380494
15840000,0.61227692514465
